id,agency_id,route_id,stop_id,start,end,header_text,description_text
lmm:planned_work:16268,MTASBWY,,411,1713534300,1713555000,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,412,1713275100,1713295800,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,412,1713361500,1713382200,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,412,1713447900,1713468600,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,412,1713534300,1713555000,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,413,1713275100,1713295800,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,413,1713361500,1713382200,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,413,1713447900,1713468600,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,413,1713534300,1713555000,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,414,1713275100,1713295800,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,414,1713361500,1713382200,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,414,1713447900,1713468600,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16268,MTASBWY,,414,1713534300,1713555000,"In the Bronx, Manhattan-bound [4] skips 176 St, Mt Eden Av, 170 St, 167 St and 161 St-Yankee Stadium","For service to these stations, take the [4] to 149 St-Grand Concourse and transfer to a Woodlawn-bound [4].

For service from these stations, take the [4] to Burnside Av and transfer to a Manhattan-bound [4].

Travel tip:
For service to 176 St, take the Bx32 at Burnside Av.

What's happening?
Station maintenance

accessibility icon This service change affects one or more ADA accessible stations and these travel alternatives may not be fully accessible. Please contact 511 to plan your trip."
lmm:planned_work:16247,MTASBWY,2,,1712982600,1712998800,"In Manhattan, downtown [2] local skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [2] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [2].

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16247,MTASBWY,2,,1713069000,1713085200,"In Manhattan, downtown [2] local skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [2] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [2].

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16247,MTASBWY,,124,1712982600,1712998800,"In Manhattan, downtown [2] local skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [2] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [2].

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16247,MTASBWY,,124,1713069000,1713085200,"In Manhattan, downtown [2] local skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [2] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [2].

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16247,MTASBWY,,125,1712982600,1712998800,"In Manhattan, downtown [2] local skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [2] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [2].

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16247,MTASBWY,,125,1713069000,1713085200,"In Manhattan, downtown [2] local skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [2] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [2].

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16247,MTASBWY,,126,1712982600,1712998800,"In Manhattan, downtown [2] local skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [2] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [2].

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
